"","address","type_l1","amount","type_l2"
"1","0x498Dd5A79ab7e19Be1dA81738239214F807E3462","other",14.5423728824,"HRMS"
"2","0x7236C751AeAC3D1f1F45811D995f8334853ed23f","other",317.71889854989,"HRMS"
"3","0x9b5d18e45a57F21c3C143B166FC0bF44133c86E3","other",13.7898033999244,"HRMS"
"4","0x9D6d4F946319ABd76F3249FAe0631eb123C743AF","other",108.817216376107,"HRMS"
"5","0x1B9C3153eBB2AB736fdDD93d916E3E6dcAE4B0b6","other",36.9223230015425,"HRMS"
"6","0x611DD52C2244E675b80fCFA0845f12D72845ee11","other",17.1780456590647,"HRMS"
"7","0xaCDcb6f462ffb4a3eE5194E00cEf1F3Dd882431d","other",152.545002808855,"HRMS"
"8","0x8979BB88c64Af25B2351aDfe50B70255F560eE8c","other",2955.08279887574,"HRMS"
"9","0x9Ba90A89382b59C2E93f123452719d016483B590","other",1090.08343272662,"HRMS"
"10","0x8562C682c84Ec4F953d2A3E0735B7e1636Ef685c","other",665.507737137048,"HRMS"
"11","0x0A1Dd0Ab319a8C31aFB92094180BeF3a16eee021","other",147.151778453812,"HRMS"
"12","0x08EeBf55FB10386415BBFFB9122aE337520a3548","other",528.341396765761,"HRMS"
"13","0x4b8c818F234e6bFf9f85fdC24CCecBf42Bb40319","other",503.559359217362,"HRMS"
"14","0x7e54F999b3152c2A1E518840201f5D9816e4b843","other",55.759514691532,"HRMS"
"15","0xbE93d14C5dEFb8F41aF8FB092F58e3C71C712b85","other",246.354664460141,"HRMS"
"16","0xb13B9E1C8C15F789795b4a3cdfbb172e37673208","other",2483.10480258924,"HRMS"
"17","0x67684a8c6D66e63dE692Add5D3C0712a263f0C9F","other",143.890630156704,"HRMS"
"18","0x03e0F50024A4Bb277E06dD8DF3A9172Ccc214A59","other",9567.30374314026,"HRMS"
"19","0x8e90681c55B503dE6a64b202Cf1454cbb1B1d8Bc","other",559.078490791671,"HRMS"
"20","0x2Af893C67E698C1F420bC4e4a44E4aCe60aE7025","other",120.403664907568,"HRMS"
"21","0xF2E7CE54083756627f86CB7b691489fAfA78476f","other",441.591619288766,"HRMS"
"22","0x62CAf99080c8E3Eda2D73A3E95CF8A80F849F725","other",1304.62322652666,"HRMS"
"23","0xC084b91C909414DFE105D4c4D4189bECc0D2A284","other",89.237288142,"HRMS"
"24","0x4E96754DA125F39AC7d43D9373235Ca87Cd549d2","other",99.0830378613761,"HRMS"
"25","0xe311Db79DD453Cd2a4C7383e950939DAdC1400A9","other",2.5074061733803,"HRMS"
"26","0xac376Da974F03f18E759639fEcD0A1A6090F9542","other",203.189551740393,"HRMS"
"27","0x9e953C2239b59AfC69E21B2cb445e14795Db5A93","other",5.08192603216205,"HRMS"
"28","0xA938a05dFBD9a5DED3DBB6f92c5D6f0C89341657","other",3.7651050331599,"HRMS"
"29","0xE6D860d6B04A00D55AEda46fB402a3d9A2Bce20c","other",814.865639795392,"HRMS"
"30","0x02A17d40E829ba68C49e0a69247717a0603f4d47","other",43.9355708104172,"HRMS"
"31","0xA17BA7C5a9c3DFDEa4305856260ebA205D448D52","other",56.7355615997682,"HRMS"
"32","0x99F1fCc63287558340EFAfEB6b22CcB6C46eae30","other",68.9281918506407,"HRMS"
"33","0x89Bc67aC85DbAD2BC95f194DE2E01fb05e628349","other",390.792876939122,"HRMS"
"34","0x7a0373a8789562dD3923D3c212e249E5E88723cF","other",546.6610169884,"HRMS"
"35","0xa78f2c13FCB8b6999Ab10F160c10C4Fd2d18384F","other",1650.81537583763,"HRMS"
"36","0x908d544c866104a22a4818a052cfa423Aa335BF9","other",634.725803687494,"HRMS"
"37","0x2F87423B6a9193c9ddc5070DadbD3ac7f05Bcc31","other",41.7822823051708,"HRMS"
"38","0xF473dBEfC340bfC174aF3865fB2248fc071Cb3C8","other",167.11839968974,"HRMS"
"39","0x19d2eF4966b2880E9224d576b2B8f6ddc15F59A4","other",21.2161694616492,"HRMS"
"40","0xB0848EE9F1C0E3c3114e7214881089eFf6690C53","other",42.6745265986005,"HRMS"
"41","0x3b2eFe092ba48FEa5efdb91DE890AE1A8245A7f0","other",4.98079231087157,"HRMS"
"42","0xCFE8a0410Bc17B061005e4f1951C675e17f594f8","other",1112.23620127261,"HRMS"
"43","0x72355E1377e4C7E4516acA780F2CEc1C6d3820a9","other",1.39664593969485,"HRMS"
"44","0x4618F344F19DBaB977d5919d3e3a3256274d043d","other",265.115036767548,"HRMS"
"45","0x4DDF076601774471c9c2DBdcf02A361a3451f11F","other",14.1861629663696,"HRMS"
"46","0xfB7e876cDB3cdacd76C56Af9CFC0C5F105048a68","other",65.5111396797362,"HRMS"
"47","0x64d50eCD91e6FC9a549C95226D616D4BaF614D20","other",117.257876846724,"HRMS"
"48","0x66CA9a34133F3D5dB720a64Cef2Af66C1Ef53428","other",12.1838919057809,"HRMS"
"49","0xEE6619E5A1891dD84eb988fF647646d2cbC313A3","other",231.685765870647,"HRMS"
"50","0x67bD7C336eb202239423CD1639AE8A508F6084Ee","other",181.487823429025,"HRMS"
"51","0x2D2E638299BC57B90a93a46c10de2d6CF0c90690","other",793.22033904,"HRMS"
"52","0x0089D65b21ee0d8915da224b2c17132502184b97","other",5.56019115202973,"HRMS"
"53","0x581c7445d443dc7Df995D2502873Da3f436C09b4","other",217.334785791041,"HRMS"
"54","0x120f5C9cEE73bC3283a506005EBE966a709D7Fb9","other",203.820445841505,"HRMS"
"55","0x79D860858361577A4F2a33D83AAC2299b6d77025","other",859.630111365013,"HRMS"
"56","0x29B355B95369C04C3A4531462672835B5de176CA","other",3.32277973186707,"HRMS"
"57","0xbE0dDfF9B3C98fDBF8f80C65F3462221537E774E","other",151.254352127548,"HRMS"
"58","0x333368262cf7976254C6daa9Ffa740F53d17DbD4","other",33.5482533407765,"HRMS"
"59","0x72f08E7b20bc5f91b8C08dC3EB7374C5FF34f9cE","other",201.869547506308,"HRMS"
"60","0x85CA40b9A4f2b26755C41a4770C79b0996cA94AE","other",167.565494987808,"HRMS"
"61","0xD23288cfb234C124730011E011Ca52c9b23511C6","other",205.159848215877,"HRMS"
"62","0xfc25bd8d2Bcc7135e797A47dE99755d8d1FA2F09","other",110.281301653797,"HRMS"
"63","0x7d91726d37fa9caf6baFDF4a03F3C55642e866b2","other",295.550032029086,"HRMS"
"64","0x2f5fc18e49607Fe9E35285aA575029a71A4372c3","other",194.107865275572,"HRMS"
"65","0xD92F143A1a057b302Caa00b11E7029DbD88Bb5b6","other",56.6839509151231,"HRMS"
"66","0x2Bf98dbF38546EBCC7e5e4B8ACa7572A567Bd13e","other",216.476512340559,"HRMS"
"67","0xBbbB916bb8Adc7635C0d01BF14a917DBA4a8f438","other",7.2280402017746,"HRMS"
"68","0x46F8fbea35E9E2Ae619a93a0cF5269b59f551278","other",127.663753013528,"HRMS"
"69","0xb1422D8fc234593EBf2446Ece3010eC9C106Aaf8","other",4.96900803586145,"HRMS"
"70","0xbd9d5f836CBc585Ef0caee2270C2d0A33d9b65b2","other",135.455079351714,"HRMS"
"71","0xA9264e0c7026D9bE9a2B65638CE8730F3C0d7AD2","other",1804.47164833497,"HRMS"
"72","0xfC559335902d9979f552e74B60253d25DDa1b2Fa","other",3.13954402427019,"HRMS"
"73","0xAE30f9B73318F42F5e01e597B97C902f4f556Df4","other",57.7775316413378,"HRMS"
"74","0x54019E9ecaBC581E0acf08B1228B94A395Ba457b","other",49.5927577595718,"HRMS"
"75","0x2e27B62406559ce0d18Ce5897A5C12be6bC19bDf","other",11.8592048453905,"HRMS"
"76","0xDF21A9178AbD3b7F34EF3589502e821F307e3561","other",84.6827543109428,"HRMS"
"77","0xeF307aF9b853fB57E4AfE10E0c7a0Ba9eeC67b32","other",55.928644071812,"HRMS"
"78","0xEA7b634B09c4Bf35EB5f12EDe6e32d1e249aadEb","other",24.9806313069007,"HRMS"
"79","0x687637f12c74eB7006B29bB28Af3D77f0F92a41A","other",45.7210603905849,"HRMS"
"80","0x279ebAD6373e9d9A16f12Bf6e1142130bE4B6dEd","other",0.677835211519754,"HRMS"
"81","0x28219008Ba72dC7003CcEb783D4588e8b0A8b27A","other",11.1932619847737,"HRMS"
"82","0x826FFaeb446EF72690AD3f8Ffdfe9109e02eEeBB","other",747.2512675848,"HRMS"
"83","0x9952814d76a916725A3B3eb4d7154a2826103640","other",3.86336817060763,"HRMS"
"84","0x455E186103Be1500c48A2A9087930C78b9CD19Dc","other",209.79342628976,"HRMS"
"85","0x46676183529DE18C6d418FD015e24b9Ce380473b","other",366.238154931451,"HRMS"
"86","0x8CB406FfC2a4711bd44e54E7a918A2991c7E8e0B","other",51.6890099222378,"HRMS"
"87","0xcC90c10D54368321E4f022D13334490c52FB6121","other",54.6582585147618,"HRMS"
