account,whitelisted_PLTS,airdropped_pHRMS,total_pHRMS,total_PLTS
0x498Dd5A79ab7e19Be1dA81738239214F807E3462,3709.737105727307,0,3709.737105727307,5612.166390312745
0x7236C751AeAC3D1f1F45811D995f8334853ed23f,1849.6589977997955,0,1849.6589977997955,2798.2020733936665
0x9b5d18e45a57F21c3C143B166FC0bF44133c86E3,222.04870521372894,0,222.04870521372894,335.919836068447
0x9D6d4F946319ABd76F3249FAe0631eb123C743AF,352.0250176483146,0,352.0250176483146,532.550667686139
0x1B9C3153eBB2AB736fdDD93d916E3E6dcAE4B0b6,36.9223230015425,0,36.9223230015425,55.85684761370791
0x611DD52C2244E675b80fCFA0845f12D72845ee11,14.790656092771004,0,14.790656092771004,22.37560793361122
0xaCDcb6f462ffb4a3eE5194E00cEf1F3Dd882431d,140.99641711871914,0,140.99641711871914,213.3022720360816
0x8979BB88c64Af25B2351aDfe50B70255F560eE8c,7.781172379184735,0,7.781172379184735,11.771517188177926
0x9Ba90A89382b59C2E93f123452719d016483B590,25289.49488723882,0,25289.49488723882,38258.466621537584
0x8562C682c84Ec4F953d2A3E0735B7e1636Ef685c,2820.7497545287583,100.32254579563141,2921.0723003243897,4446.307676041162
0x0A1Dd0Ab319a8C31aFB92094180BeF3a16eee021,147.1517784538118,0,147.1517784538118,222.6142289269635
0x08EeBf55FB10386415BBFFB9122aE337520a3548,3274.7311458343634,0,3274.7311458343634,4954.080451034769
0x4b8c818F234e6bFf9f85fdC24CCecBf42Bb40319,503.4869778877808,0,503.4869778877808,761.6854280319579
0x7e54F999b3152c2A1E518840201f5D9816e4b843,30.801425777590868,0,30.801425777590868,46.59702873711255
0xbE93d14C5dEFb8F41aF8FB092F58e3C71C712b85,1067.4047585628484,0,1067.4047585628484,1614.7918141201708
0xb13B9E1C8C15F789795b4a3cdfbb172e37673208,2483.104802589239,0,2483.104802589239,3756.491880570434
0x67684a8c6D66e63dE692Add5D3C0712a263f0C9F,209.99411234178064,0,209.99411234178064,317.68340069937295
0x03e0F50024A4Bb277E06dD8DF3A9172Ccc214A59,9567.303743140263,0,9567.303743140263,14473.613353967934
0x8e90681c55B503dE6a64b202Cf1454cbb1B1d8Bc,526.2193967751272,0,526.2193967751272,796.0754976282946
0x2Af893C67E698C1F420bC4e4a44E4aCe60aE7025,120.40366490756841,0,120.40366490756841,182.14913407785951
0xF2E7CE54083756627f86CB7b691489fAfA78476f,441.59161928876637,0,441.59161928876637,668.0488599017098
0x62CAf99080c8E3Eda2D73A3E95CF8A80F849F725,1304.6232265266635,0,1304.6232265266635,1973.6607784499204
0xC084b91C909414DFE105D4c4D4189bECc0D2A284,89.237288142,0,89.237288142,135
0x4E96754DA125F39AC7d43D9373235Ca87Cd549d2,99.0830378613761,0,99.0830378613761,149.8948521384996
0xe311Db79DD453Cd2a4C7383e950939DAdC1400A9,2.507406173380304,0,2.507406173380304,3.7932554927901747
0xac376Da974F03f18E759639fEcD0A1A6090F9542,401.49260498756877,0,401.49260498756877,607.3862485273303
0x9e953C2239b59AfC69E21B2cb445e14795Db5A93,5.0819260321620465,0,5.0819260321620465,7.688041945539339
0xA938a05dFBD9a5DED3DBB6f92c5D6f0C89341657,471.73918716426954,0,471.73918716426954,713.6567189921454
0xE6D860d6B04A00D55AEda46fB402a3d9A2Bce20c,855.1107222869305,0,855.1107222869305,1293.6290413155573
0x02A17d40E829ba68C49e0a69247717a0603f4d47,43.93557081041716,0,43.93557081041716,66.46663275970528
0xA17BA7C5a9c3DFDEa4305856260ebA205D448D52,56.735561599768204,0,56.735561599768204,85.83072138835891
0x99F1fCc63287558340EFAfEB6b22CcB6C46eae30,68.92819185064067,0,68.92819185064067,104.27598253579043
0x89Bc67aC85DbAD2BC95f194DE2E01fb05e628349,390.79287693912164,0,390.79287693912164,591.1994804552005
0x7a0373a8789562dD3923D3c212e249E5E88723cF,1319.41064742945,0,1319.41064742945,1996.0314921217603
0xa78f2c13FCB8b6999Ab10F160c10C4Fd2d18384F,1650.8153758376286,0,1650.8153758376286,2497.3873632673694
0x908d544c866104a22a4818a052cfa423Aa335BF9,634.7258036874937,0,634.7258036874937,960.2262157659869
0x2F87423B6a9193c9ddc5070DadbD3ac7f05Bcc31,34.69394572500959,0,34.69394572500959,52.485712759707845
0xF473dBEfC340bfC174aF3865fB2248fc071Cb3C8,841.3443523170257,0,841.3443523170257,1272.8029944395043
0x19d2eF4966b2880E9224d576b2B8f6ddc15F59A4,21.21616946164918,0,21.21616946164918,32.096256362754666
0xB0848EE9F1C0E3c3114e7214881089eFf6690C53,311.80791762365703,0,311.80791762365703,471.70941380705074
0x3b2eFe092ba48FEa5efdb91DE890AE1A8245A7f0,5.551834139343391,0,5.551834139343391,8.3989285691729
0xCFE8a0410Bc17B061005e4f1951C675e17f594f8,1017.3017384290323,24.836325333870647,1042.138063762903,1583.31387547265
0x72355E1377e4C7E4516acA780F2CEc1C6d3820a9,30.236086109148573,0,30.236086109148573,45.74177129004329
0x4618F344F19DBaB977d5919d3e3a3256274d043d,265.11503676754825,0,265.11503676754825,401.0714658503166
0x4DDF076601774471c9c2DBdcf02A361a3451f11F,14.186162966369583,0,14.186162966369583,21.461118332197806
0xfB7e876cDB3cdacd76C56Af9CFC0C5F105048a68,65.51113967973622,0,65.51113967973622,99.10659591863944
0x64d50eCD91e6FC9a549C95226D616D4BaF614D20,260.3289187823091,0,260.3289187823091,393.83092838598736
0x66CA9a34133F3D5dB720a64Cef2Af66C1Ef53428,12.183891905780875,0,12.183891905780875,18.432041599729793
