account,whitelisted_PLTS
0x498Dd5A79ab7e19Be1dA81738239214F807E3462,5612.166390312745
0x7236C751AeAC3D1f1F45811D995f8334853ed23f,2798.2020733936665
0x9b5d18e45a57F21c3C143B166FC0bF44133c86E3,335.919836068447
0x9D6d4F946319ABd76F3249FAe0631eb123C743AF,532.550667686139
0x1B9C3153eBB2AB736fdDD93d916E3E6dcAE4B0b6,55.85684761370791
0x611DD52C2244E675b80fCFA0845f12D72845ee11,22.37560793361122
0xaCDcb6f462ffb4a3eE5194E00cEf1F3Dd882431d,213.3022720360816
0x8979BB88c64Af25B2351aDfe50B70255F560eE8c,11.771517188177926
0x9Ba90A89382b59C2E93f123452719d016483B590,38258.466621537584
0x8562C682c84Ec4F953d2A3E0735B7e1636Ef685c,4267.288089878162
0x0A1Dd0Ab319a8C31aFB92094180BeF3a16eee021,222.6142289269635
0x08EeBf55FB10386415BBFFB9122aE337520a3548,4954.080451034769
0x4b8c818F234e6bFf9f85fdC24CCecBf42Bb40319,761.6854280319579
0x7e54F999b3152c2A1E518840201f5D9816e4b843,46.59702873711255
0xbE93d14C5dEFb8F41aF8FB092F58e3C71C712b85,1614.7918141201708
0xb13B9E1C8C15F789795b4a3cdfbb172e37673208,3756.491880570434
0x67684a8c6D66e63dE692Add5D3C0712a263f0C9F,317.68340069937295
0x03e0F50024A4Bb277E06dD8DF3A9172Ccc214A59,14473.613353967934
0x8e90681c55B503dE6a64b202Cf1454cbb1B1d8Bc,796.0754976282946
0x2Af893C67E698C1F420bC4e4a44E4aCe60aE7025,182.14913407785951
0xF2E7CE54083756627f86CB7b691489fAfA78476f,668.0488599017098
0x62CAf99080c8E3Eda2D73A3E95CF8A80F849F725,1973.6607784499204
0xC084b91C909414DFE105D4c4D4189bECc0D2A284,135
0x4E96754DA125F39AC7d43D9373235Ca87Cd549d2,149.8948521384996
0xe311Db79DD453Cd2a4C7383e950939DAdC1400A9,3.7932554927901747
0xac376Da974F03f18E759639fEcD0A1A6090F9542,607.3862485273303
0x9e953C2239b59AfC69E21B2cb445e14795Db5A93,7.688041945539339
0xA938a05dFBD9a5DED3DBB6f92c5D6f0C89341657,713.6567189921454
0xE6D860d6B04A00D55AEda46fB402a3d9A2Bce20c,1293.6290413155573
0x02A17d40E829ba68C49e0a69247717a0603f4d47,66.46663275970528
0xA17BA7C5a9c3DFDEa4305856260ebA205D448D52,85.83072138835891
0x99F1fCc63287558340EFAfEB6b22CcB6C46eae30,104.27598253579043
0x89Bc67aC85DbAD2BC95f194DE2E01fb05e628349,591.1994804552005
0x7a0373a8789562dD3923D3c212e249E5E88723cF,1996.0314921217603
0xa78f2c13FCB8b6999Ab10F160c10C4Fd2d18384F,2497.3873632673694
0x908d544c866104a22a4818a052cfa423Aa335BF9,960.2262157659869
0x2F87423B6a9193c9ddc5070DadbD3ac7f05Bcc31,52.485712759707845
0xF473dBEfC340bfC174aF3865fB2248fc071Cb3C8,1272.8029944395043
0x19d2eF4966b2880E9224d576b2B8f6ddc15F59A4,32.096256362754666
0xB0848EE9F1C0E3c3114e7214881089eFf6690C53,471.70941380705074
0x3b2eFe092ba48FEa5efdb91DE890AE1A8245A7f0,8.3989285691729
0xCFE8a0410Bc17B061005e4f1951C675e17f594f8,1538.9949375129158
0x72355E1377e4C7E4516acA780F2CEc1C6d3820a9,45.74177129004329
0x4618F344F19DBaB977d5919d3e3a3256274d043d,401.0714658503166
0x4DDF076601774471c9c2DBdcf02A361a3451f11F,21.461118332197806
0xfB7e876cDB3cdacd76C56Af9CFC0C5F105048a68,99.10659591863944
0x64d50eCD91e6FC9a549C95226D616D4BaF614D20,393.83092838598736
0x66CA9a34133F3D5dB720a64Cef2Af66C1Ef53428,18.432041599729793
0xEE6619E5A1891dD84eb988fF647646d2cbC313A3,349.46920119582296
0x67bD7C336eb202239423CD1639AE8A508F6084Ee,3337.1738577434535
0x2D2E638299BC57B90a93a46c10de2d6CF0c90690,1384.4417092470653
0x0089D65b21ee0d8915da224b2c17132502184b97,132.05793489380025
0x581c7445d443dc7Df995D2502873Da3f436C09b4,319.5109617886389
0x120f5C9cEE73bC3283a506005EBE966a709D7Fb9,308.3437513791133
0x79D860858361577A4F2a33D83AAC2299b6d77025,8310.796808278497
0x29B355B95369C04C3A4531462672835B5de176CA,59.11340430642257
0xbE0dDfF9B3C98fDBF8f80C65F3462221537E774E,178.74451972193978
0x333368262cf7976254C6daa9Ffa740F53d17DbD4,40.14539359158563
0x72f08E7b20bc5f91b8C08dC3EB7374C5FF34f9cE,305.39239235941255
0x85CA40b9A4f2b26755C41a4770C79b0996cA94AE,339.23829368568397
0xD23288cfb234C124730011E011Ca52c9b23511C6,966.0093014407942
0xfc25bd8d2Bcc7135e797A47dE99755d8d1FA2F09,166.83581531043276
0x7d91726d37fa9caf6baFDF4a03F3C55642e866b2,447.11415098626094
