account,whitelisted_PLTS,whitelisted_pHRMS,whitelisted_pHRMS_WEI,airdropped_pHRMS,airdropped_WEI,total_pHRMS,total_PLTS
0x498Dd5A79ab7e19Be1dA81738239214F807E3462,5611.166390312745,3709.076088778107,3.709076088778107e+21,0.6610169492,661016949200000000,3709.737105727307,5612.166390312745
0x7236C751AeAC3D1f1F45811D995f8334853ed23f,2798.2020733936665,1849.6589977997955,1.8496589977997956e+21,0,0,1849.6589977997955,2798.2020733936665
0x9b5d18e45a57F21c3C143B166FC0bF44133c86E3,335.919836068447,222.04870521372894,222048705213728950000,0,0,222.04870521372894,335.919836068447
0x9D6d4F946319ABd76F3249FAe0631eb123C743AF,532.550667686139,352.0250176483146,352025017648314600000,0,0,352.0250176483146,532.550667686139
0x1B9C3153eBB2AB736fdDD93d916E3E6dcAE4B0b6,49.92122121504161,32.99877334790512,32998773347905126000,3.923549653637383,3923549653637382700,36.9223230015425,55.85684761370791
0x611DD52C2244E675b80fCFA0845f12D72845ee11,22.37560793361122,14.790656092771004,14790656092771004000,0,0,14.790656092771004,22.37560793361122
0xaCDcb6f462ffb4a3eE5194E00cEf1F3Dd882431d,213.3022720360816,140.99641711871914,140996417118719130000,0,0,140.99641711871914,213.3022720360816
0x8979BB88c64Af25B2351aDfe50B70255F560eE8c,11.771517188177926,7.781172379184735,7781172379184735000,0,0,7.781172379184735,11.771517188177926
0x9Ba90A89382b59C2E93f123452719d016483B590,38258.466621537584,25289.49488723882,2.5289494887238807e+22,0,0,25289.49488723882,38258.466621537584
0x8562C682c84Ec4F953d2A3E0735B7e1636Ef685c,3702.611423255013,2447.4889070730983,2.447488907073099e+21,591.9183739438039,591918373943804000000,3039.4072810169027,4446.307676041162
0x0A1Dd0Ab319a8C31aFB92094180BeF3a16eee021,222.6142289269635,147.1517784538118,147151778453811800000,0,0,147.1517784538118,222.6142289269635
0x08EeBf55FB10386415BBFFB9122aE337520a3548,4954.080451034769,3274.7311458343634,3.274731145834363e+21,0,0,3274.7311458343634,4954.080451034769
0x4b8c818F234e6bFf9f85fdC24CCecBf42Bb40319,761.6854280319579,503.4869778877808,503486977887780900000,0,0,503.4869778877808,761.6854280319579
0x7e54F999b3152c2A1E518840201f5D9816e4b843,46.59702873711255,30.801425777590868,30801425777590866000,0,0,30.801425777590868,46.59702873711255
0xbE93d14C5dEFb8F41aF8FB092F58e3C71C712b85,1614.7918141201708,1067.4047585628484,1.0674047585628484e+21,0,0,1067.4047585628484,1614.7918141201708
0xb13B9E1C8C15F789795b4a3cdfbb172e37673208,3756.491880570434,2483.104802589239,2.483104802589239e+21,0,0,2483.104802589239,3756.491880570434
0x67684a8c6D66e63dE692Add5D3C0712a263f0C9F,300.48547322505146,198.62599079014177,198625990790141870000,11.368121551638852,11368121551638852000,209.99411234178064,317.68340069937295
0x03e0F50024A4Bb277E06dD8DF3A9172Ccc214A59,9659.566826627195,6385.1373943306335,6.385137394330634e+21,3182.1663488096283,3.1821663488096285e+21,9567.303743140263,14473.613353967934
0x8e90681c55B503dE6a64b202Cf1454cbb1B1d8Bc,796.0754976282946,526.2193967751272,526219396775127150000,0,0,526.2193967751272,796.0754976282946
0x2Af893C67E698C1F420bC4e4a44E4aCe60aE7025,182.14913407785951,120.40366490756841,120403664907568450000,0,0,120.40366490756841,182.14913407785951
0xF2E7CE54083756627f86CB7b691489fAfA78476f,668.0488599017098,441.59161928876637,441591619288766350000,0,0,441.59161928876637,668.0488599017098
0x62CAf99080c8E3Eda2D73A3E95CF8A80F849F725,1973.6607784499204,1304.6232265266635,1.3046232265266634e+21,0,0,1304.6232265266635,1973.6607784499204
0xC084b91C909414DFE105D4c4D4189bECc0D2A284,135,89.237288142,89237288142000000000,0,0,89.237288142,135
0x4E96754DA125F39AC7d43D9373235Ca87Cd549d2,149.8948521384996,99.0830378613761,99083037861376100000,0,0,99.0830378613761,149.8948521384996
0xe311Db79DD453Cd2a4C7383e950939DAdC1400A9,3.7932554927901747,2.507406173380304,2507406173380304000,0,0,2.507406173380304,3.7932554927901747
0xac376Da974F03f18E759639fEcD0A1A6090F9542,592.8059362882041,391.8547714728782,391854771472878400000,9.6378335146906,9637833514690599000,401.49260498756877,607.3862485273303
0x9e953C2239b59AfC69E21B2cb445e14795Db5A93,7.688041945539339,5.0819260321620465,5081926032162047000,0,0,5.0819260321620465,7.688041945539339
0xA938a05dFBD9a5DED3DBB6f92c5D6f0C89341657,713.6567189921454,471.73918716426954,471739187164269600000,0,0,471.73918716426954,713.6567189921454
0xE6D860d6B04A00D55AEda46fB402a3d9A2Bce20c,1293.6290413155573,855.1107222869305,855110722286930400000,0,0,855.1107222869305,1293.6290413155573
0x02A17d40E829ba68C49e0a69247717a0603f4d47,48.15529000347645,31.831462885939267,31831462885939266000,12.104107924477898,12104107924477899000,43.93557081041716,66.46663275970528
0xA17BA7C5a9c3DFDEa4305856260ebA205D448D52,85.83072138835891,56.735561599768204,56735561599768200000,0,0,56.735561599768204,85.83072138835891
0x99F1fCc63287558340EFAfEB6b22CcB6C46eae30,104.27598253579043,68.92819185064067,68928191850640680000,0,0,68.92819185064067,104.27598253579043
0x89Bc67aC85DbAD2BC95f194DE2E01fb05e628349,591.1994804552005,390.79287693912164,390792876939121660000,0,0,390.79287693912164,591.1994804552005
0x7a0373a8789562dD3923D3c212e249E5E88723cF,1786.0314921217603,1180.5970880974498,1.1805970880974498e+21,138.81355933199998,138813559331999990000,1319.41064742945,1996.0314921217603
